5108600.0	6010120.0	2.0499999999999998	N	A.1.2     	H   
6010120.0	999999999.0	2.0	S	A.1.2     	H   
-1.0	1800.0	8.0	N	A.1.3     	H   
1800.0	3610.0	7.2000000000000002	N	A.1.3     	H   
3610.0	5410.0	6.96	N	A.1.3     	H   
5410.0	7810.0	6.7999999999999998	N	A.1.3     	H   
7810.0	9620.0	6.7199999999999998	N	A.1.3     	H   
9620.0	11420.0	6.4000000000000004	N	A.1.3     	H   
11420.0	13220.0	6.1600000000000001	N	A.1.3     	H   
13220.0	15030.0	6.0	N	A.1.3     	H   
15030.0	16830.0	5.8399999999999999	N	A.1.3     	H   
16830.0	19230.0	5.7599999999999998	N	A.1.3     	H   
19230.0	28850.0	5.4400000000000004	N	A.1.3     	H   
28850.0	38460.0	5.1200000000000001	N	A.1.3     	H   
38460.0	48080.0	4.8799999999999999	N	A.1.3     	H   
48080.0	96160.0	4.0	N	A.1.3     	H   
96160.0	144240.0	3.52	N	A.1.3     	H   
144240.0	192320.0	3.2000000000000002	N	A.1.3     	H   
192320.0	384650.0	2.3999999999999999	N	A.1.3     	H   
384650.0	576970.0	2.1600000000000001	N	A.1.3     	H   
576970.0	769300.0	2.0	N	A.1.3     	H   
769300.0	961620.0	1.9199999999999999	N	A.1.3     	H   
961620.0	1923240.0	1.3600000000000001	N	A.1.3     	H   
1923240.0	9999999999999.0	1.2	S	A.1.3     	H   
-1.0	4510.0	8.0	N	A.1.4     	H   
4510.0	6010.0	7.5	N	A.1.4     	H   
